document_id,cleaned_text,Sentiment
1,b march pm edt real time mapping wuhancoronavirus ncov global case confirmed case and\xe \x \xa http co twyj zodss,Neutral
2,b so today massachusetts finalized rest wuhancoronavirus vaccination timeline and yet still de\xe \x \xa http co lwulsrpm w,Positive
3,b and shall forever wuhancoronavirus http co ipcmob cvw,Neutral
4,b the truth covid \xef\xbc\x \n\xe \xb \xad\xe \x \xb \xe \x \x \xe \xaf\x \xe \xad\xa \xe \xb \x \xe \xae\x e\xe \xaa\x c\xe \xae\xa \n laborunfall sarscov sarscov virus pandemie\n\xe \x \xab\xe \xb \xbd\xe \xa \xa drlimengyan\n\xc \xa \xe \x \xa http co sh q zjq,Neutral
5,b state department lead investigator say flumanchu may escaped lab \n\nhttps co eotcqetzj \n\nvia\xe \x \xa http co m q uqffjt,Negative
6,b tedros you fired \n\xe \x c\x \xe \xac\x \nhttps co nkacos ld \n\ncoronaviruschina pndahugger\ncoronachan coronachan \xe \x \xb \xe \x \xad\xe \x \x a\xe \x \xa \xe \x \x \xe \x \x \xe \x \xa http co m cyhc,Neutral
7,b aymanm timobrien calling china virus problem asian hate problem don\xe \x \x mix \ni asia\xe \x \xa http co lb ig s u,Negative
8,b calling china virus problem asian hate problem don\xe \x \x mix \ni asian and i call it\xe \x \xa http co i qjhycep,Negative
9,b timobrien calling china virus problem asian hate problem don\xe \x \x mix \ni asian and i\xe \x \xa http co e z vlwdr,Neutral
10,b mmpadellan ok the\nwuhancoronavirus\nwuflu\nkungflu\nwuhanchinesecoronavirus,Negative
11,b gordongchang not hong kong world \n\nccpchina held accountable \n\n hongkong \n \xe \x \xa http co okaq boanq,Neutral
12,b trump accomplishment term \n\nadd nobel peace prize nomination actual accomplishment incl promot\xe \x \xa http co ia swlzq,Neutral
13,b march pm edt real time mapping wuhancoronavirus ncov global case confirmed case and\xe \x \xa http co wiyoh,Neutral
14,b the truth covid \xef\xbc\x \n\xe \xb \xad\xe \x \xb \xe \x \x \xe \xaf\x \xe \xad\xa \xe \xb \x \xe \xae\x e\xe \xaa\x c\xe \xae\xa \n laborunfall sarscov sarscov virus pandemie\n\xe \x \xab\xe \xb \xbd\xe \xa \xa drlimengyan\n\xc \xa \xe \x \xa http co s kn bav,Neutral
15,b the truth covid \xef\xbc\x \n\xe \xb \xad\xe \x \xb \xe \x \x \xe \xaf\x \xe \xad\xa \xe \xb \x \xe \xae\x e\xe \xaa\x c\xe \xae\xa \n laborunfall sarscov sarscov virus pandemie\n\xe \x \xab\xe \xb \xbd\xe \xa \xa drlimengyan\n\xc \xa \xe \x \xa http co ycl ygfjpr,Neutral
