Articles	Contributions	Source	Labels
Text Mining for Personalized Knowledge Extraction From Online Support Groups	"Extend and evaluate existing text‐mining techniques to retrieve age, gender, and narrative from OSG text."	JASIST	Algorithm or Method or Technology Optimization
Text Mining for Personalized Knowledge Extraction From Online Support Groups	Design and develop a layer for extraction of knowledge from OSGs by integrating the above techniques with domain ontologies.	JASIST	New Algorithm or Method or Technology
Text Mining for Personalized Knowledge Extraction From Online Support Groups	"Evaluate relevance, reliability, and demonstrate the usefulness of the knowledge extraction layer using an active OSG containing 800,000 posts by 72,066 participants."	JASIST	Performance Evaluation
"PSI: A probabilistic semantic interpretable framework for fine‐grained image ranking"	"A novel semantic interpretable framework is proposed, which can reveal the key factors in certain image ranking tasks; "	JASIST	Model Construction
"PSI: A probabilistic semantic interpretable framework for fine‐grained image ranking"	"with the attribute based representation and supervised constrained clustering methods, we can reduce the dimensions of both the feature space and searching space significantly, and hence obtain a fast solution to the fine‐grained image ranking problem; "	JASIST	Algorithm or Method or Technology Optimization
"PSI: A probabilistic semantic interpretable framework for fine‐grained image ranking"	"combining multiple local rankers via the proposed probabilistic framework helps our solution overcome the disadvantages of global and local models, and achieve the state‐of‐the‐art performance on the benchmark for fine‐grained image ranking problem."	JASIST	Performance Evaluation
Towards a new sociological model of fiction reading	Identifying reader characteristics.	JASIST	Resources
Towards a new sociological model of fiction reading	Illustrating the relationships between factors.	JASIST	Resources
Towards a new sociological model of fiction reading	Having the flexibility to build in different types of factors.	JASIST	Resources
Towards a new sociological model of fiction reading	Enabling the further exploration of interactions between these factors.	JASIST	Resources
Transparency as design choice of open data contests	we enrich scientific literature on the generative role of the sociotechnical architecture for combinatorial processes in collective user‐driven design.	JASIST	Resources
Transparency as design choice of open data contests	we enrich the literature on collective design and knowledge reuse	JASIST	Resources
Transparency as design choice of open data contests	This article guides practitioners in preparing and implementing an open data contest from an organizational and technical view	JASIST	Dataset Creation
If these crawls could talk: Studying and documenting web archives provenance	The article contributes a systematic approach to empirical work that captures choices in context 	JASIST	Resources
If these crawls could talk: Studying and documenting web archives provenance	 facilitates the study of the impact of specific technical system on curatorial choices.	JASIST	Theory Proposal
Retrieving people: Identifying potential answerers in Community Question‐Answering	"Empirical: Analyzing the characteristics of CQA sites: We present a large‐scale analysis of two popular CQA sites—Yahoo! Answers and Stack Overflow—to observe their similarities and differences. Yahoo! Answers is a general purpose CQA site, whereas Stack Overflow is a focused CQA revolving around programming‐related content."	JASIST	Performance Evaluation
Retrieving people: Identifying potential answerers in Community Question‐Answering	Theoretical: Proposing an efficient algorithm to find potential answerers: We propose a new method to find potential answerers in CQA.	JASIST	New Algorithm or Method or Technology
Innovation or imitation: The diffusion of citations	Introducing diffusion‐of‐innovations theory as a tool for analyzing the dynamic process of citation;	JASIST	Theory Proposal
Innovation or imitation: The diffusion of citations	Exploring how diffusion patterns influence scientific impact; and	JASIST	Performance Evaluation
Innovation or imitation: The diffusion of citations	Providing a simple method for roughly estimating a article's present status and potential in garnering scientific impact.	JASIST	New Algorithm or Method or Technology
MF‐Re‐Rank: A modality feature‐based Re‐Ranking model for medical image retrieval	the findings reveal that modality features are crucial information for medical image retrieval.	JASIST	Theory Proposal
A fuzzy clustering‐based denoising model for evaluating uncertainty in collaborative filtering recommender systems	determining the proportion of potentially noisy ratings by empirically categorizing the entropy and evaluation metrics   	JASIST	Performance Evaluation
A fuzzy clustering‐based denoising model for evaluating uncertainty in collaborative filtering recommender systems	detecting the natural noise by grouping the behaviors of users into several clusters	JASIST	Algorithm or Method or Technology Optimization
Identifying bacterial biotope entities using sequence labeling: Performance and feature analysis	The comparison of different machine learning methods provides insights on model selection for bacterial and potentially other biotope entity recognition tasks. 	JASIST	Model Optimization
Identifying bacterial biotope entities using sequence labeling: Performance and feature analysis	"The investigation on the performance impact of different features separates robust features from others, reveals rather dramatic effects of some features on certain methods, and sheds lights on the relative usefulness of word clusters built from task‐specific versus more general corpus using a traditional clustering method vs. a newer word embedding approach. "	JASIST	Algorithm or Method or Technology Optimization
Modeling citation dynamics of “atypical” articles	we contribute a modeling framework for the analysis of atypical citation patterns in articles	JASIST	Model Construction
"Adaptation, translation, and validation of information literacy assessment instrument"	The current research has contributed to the field of measurement.	JASIST	Resources
"Adaptation, translation, and validation of information literacy assessment instrument"	The present study has demonstrated that the adapted and translated TRAILS can be used as a valid and reliable instrument for secondary school students’ information literacy assessment. 	JASIST	Applications
Predictive models and analysis for webpage depth‐level dwell time	"To the best of our knowledge, this is the first work that studies page depth‐level dwell time prediction. We define a new problem in viewability prediction in order to build new ad pricing standards."	JASIST	Resources
Predictive models and analysis for webpage depth‐level dwell time	"We are the first to propose predictive models based on FM and FFM to solve this new problem, and we show that our proposed models outperform other comparison methods."	JASIST	Model Construction
Predictive models and analysis for webpage depth‐level dwell time	 We demonstrate that adding time series information can further improve the model performance. 	JASIST	Theory Proposal
Predictive models and analysis for webpage depth‐level dwell time	We also present the analysis of feature combinations and provide insights on publishers' ad business strategies.	JASIST	Performance Evaluation
An intrinsic information content‐based semantic similarity measure considering the disjoint common subsumers of concepts of an ontology	"We propose an intrinsic IC‐based information theoretic SS calculator for measuring the SS between two concepts of an ontology. To build our similarity model, we use our proposed DCS. "	JASIST	Model Construction
An intrinsic information content‐based semantic similarity measure considering the disjoint common subsumers of concepts of an ontology	We also propose an algorithm for finding the members of DCS. The accuracy of the proposed SS calculator is assessed thoroughly using a variety of benchmark data sets.	JASIST	New Algorithm or Method or Technology
An intrinsic information content‐based semantic similarity measure considering the disjoint common subsumers of concepts of an ontology	"We also bring three different ontologies, namely, WordNet,1 SNOMED‐CT,2 and MeSH (Hliaoutakis, 2005) from different domains under one umbrella to evaluate our proposed SS calculation model as well as state‐of‐the‐art models."	JASIST	Algorithm or Method or Technology Optimization
Researchers' uses of and disincentives for sharing their research identity information in research information management systems	How do researchers use RIMSs? For what activities do researchers use online RIMSs?	JASIST	Resources
Researchers' uses of and disincentives for sharing their research identity information in research information management systems	"What are the relationships among those activities, researchers' characteristics, and the extent of researchers' RIMS use?"	JASIST	Performance Evaluation
Researchers' uses of and disincentives for sharing their research identity information in research information management systems	What are researchers' reasons for not having a public RIMS profile?	JASIST	Resources
The impact of classification systems in the evaluation of the research performance of the Leiden Ranking universities	"comparing the consequences for the ranking of the 500 universities in the 2013 edition of the Leiden Ranking in two cases: (i) using a WoS journal‐level classification system with 236 categories versus the G8 publication‐level system based on the Waltman and Van Eck (2012) approach with 5,119 clusters, and (ii) using the G6 publication‐level system with 1,363 clusters versus the G8 system of the same family."	JASIST	Performance Evaluation
Information triangulation: A complex and agentic everyday information practice	"This paper examines the emergent concept of information triangulation in everyday life, using data from the young parent study"	JASIST	Resources
Twitter user geolocation by filtering of highly mentioned users	"we hypothesize that user geolocation will be improved by discriminating among different types of highly‐mentioned users (celebrities). To this end, we propose a clustering‐based approach to categorize celebrities into Local and Global types based on social network information"	JASIST	Theory Proposal
